t_wall,rho,loadavg
1784958366.7803245,0.81454,6.59
1784958367.2842557,0.79703,6.47
1784958367.7850935,0.7975,6.47
1784958368.28596,0.80299,6.47
1784958368.786805,0.8,6.47
1784958369.2883222,0.805,6.47
1784958369.789169,0.80397,6.47
1784958370.29126,0.79302,6.47
1784958370.7920592,0.80702,6.47
1784958371.2928326,0.798,6.47
1784958371.7932506,0.80299,6.47
1784958372.2940261,0.80451,6.35
1784958372.7982264,0.84901,6.35
1784958373.2990336,0.84712,6.35
1784958373.7998142,0.8725,6.35
1784958374.3003352,0.795,6.35
1784958374.801188,0.8,6.35
1784958375.302245,0.80597,6.35
1784958375.8030534,0.8,6.35
1784958376.3043566,0.8005,6.35
1784958376.807297,0.80645,6.35
1784958377.3082497,0.798,6.4
1784958377.8111312,0.801,6.4
1784958378.314271,0.79404,6.4
1784958378.8150935,0.8075,6.4
1784958379.3162842,0.8005,6.4
1784958379.8170762,0.8,6.4
1784958380.31824,0.8005,6.4
1784958380.8190281,0.7975,6.4
1784958381.3212736,0.79602,6.4
1784958381.8220503,0.81,6.4
1784958382.3232667,0.79449,6.53
1784958382.8242202,0.79302,6.53
1784958383.3252664,0.8075,6.53
1784958383.827325,0.79551,6.53
1784958384.3281732,0.80893,6.53
1784958384.828977,0.795,6.53
1784958385.332258,0.80348,6.53
1784958385.8330462,0.7995,6.53
1784958386.3338556,0.85037,6.53
1784958386.8342366,0.8575,6.53
1784958387.3350399,0.8025,6.65
1784958387.8359344,0.80299,6.65
1784958388.3382423,0.80198,6.65
1784958388.838995,0.80299,6.65
1784958389.339853,0.798,6.65
1784958389.8402772,0.8,6.65
1784958390.3410885,0.80201,6.65
1784958390.8422706,0.80549,6.65
1784958391.3430815,0.8,6.65
1784958391.8442993,0.80798,6.65
1784958392.3472834,0.80397,6.59
1784958392.8481755,0.7925,6.59
1784958393.3489733,0.79551,6.59
1784958393.8497388,0.80549,6.59
1784958394.3503022,0.80299,6.59
1784958394.8513544,0.81,6.59
1784958395.3532593,0.79551,6.59
1784958395.8540573,0.8075,6.59
1784958396.3548598,0.8,6.59
1784958396.8553057,0.79551,6.59
1784958397.3592827,0.80348,6.55
1784958397.8600962,0.798,6.55
1784958398.3609607,0.80201,6.55
1784958398.8618035,0.80299,6.55
1784958399.362296,0.8005,6.55
1784958399.8631122,0.8,6.55
1784958400.3639812,0.80549,6.55
1784958400.864834,0.7975,6.55
1784958401.365706,0.7975,6.55
1784958401.867354,0.805,6.55
1784958402.368198,0.801,6.5
1784958402.8689902,0.79198,6.5
1784958403.3697565,0.92,6.5
1784958403.871225,0.86816,6.5
1784958404.3720183,0.97487,6.5
1784958404.8732045,0.95522,6.5
1784958405.377221,1.0,6.5
1784958405.8792272,1.0,6.5
1784958406.3812296,0.99751,6.5
1784958406.8820062,1.0,6.5
1784958407.382797,0.9575,7.26
1784958407.883248,0.9025,7.26
1784958408.3840094,0.90176,7.26
1784958408.8848414,0.8975,7.26
1784958409.390293,0.89826,7.26
1784958409.8910975,0.8794,7.26
1784958410.3921466,0.84577,7.26
1784958410.8929534,0.80653,7.26
1784958411.396341,0.80149,7.26
1784958411.897183,0.80348,7.26
1784958412.398003,0.80451,7.24
1784958412.8988285,0.79602,7.24
1784958413.3996394,0.805,7.24
1784958413.9004514,0.8075,7.24
1784958414.4022737,0.79602,7.24
1784958414.903147,0.79449,7.24
1784958415.4039898,0.8005,7.24
1784958415.9052954,0.81047,7.24
1784958416.4061089,0.80299,7.24
1784958416.9069202,0.798,7.24
1784958417.4092786,0.80348,7.06
1784958417.9101038,0.8025,7.06
1784958418.4109175,0.79551,7.06
1784958418.9123673,0.8025,7.06
1784958419.4131956,0.80549,7.06
1784958419.916495,0.801,7.06
1784958420.417253,0.80798,7.06
1784958420.918032,0.8,7.06
1784958421.4188428,0.8025,7.06
1784958421.919258,0.798,7.06
1784958422.4200602,0.805,6.98
1784958422.9208548,0.801,6.98
1784958423.4216666,0.8005,6.98
1784958423.9232638,0.80549,6.98
1784958424.4243324,0.805,6.98
1784958424.92828,0.79653,6.98
1784958425.4290547,0.79551,6.98
1784958425.9298406,0.8225,6.98
1784958426.4302692,0.7975,6.98
1784958426.931057,0.7975,6.98
1784958427.4322982,0.8025,6.74
1784958427.9331272,0.80549,6.74
1784958428.4342651,0.801,6.74
1784958428.935052,0.79648,6.74
1784958429.4362354,0.80149,6.74
1784958429.9369817,0.8075,6.74
1784958430.4382222,0.80549,6.74
1784958430.9389653,0.80201,6.74
1784958431.4392467,0.798,6.74
1784958431.9400232,0.8025,6.74
1784958432.4408848,0.80597,6.68
1784958432.9442475,0.801,6.68
1784958433.4450843,0.8,6.68
1784958433.945875,0.798,6.68
1784958434.4462483,0.8025,6.68
1784958434.9470234,0.80653,6.68
1784958435.4478006,0.801,6.68
1784958435.9482446,0.8025,6.68
1784958436.448988,0.8025,6.68
1784958436.9512513,0.801,6.68
1784958437.4520373,0.79648,6.78
1784958437.9528167,0.80549,6.78
1784958438.4532344,0.81,6.78
1784958438.9539843,0.7975,6.78
1784958439.4547496,0.801,6.78
1784958439.958245,0.80645,6.78
1784958440.459001,0.8005,6.78
1784958440.959764,0.80549,6.78
1784958441.4605215,0.80451,6.78
1784958441.9632478,0.79901,6.78
1784958442.4640856,0.80299,6.8
1784958442.9648879,0.8005,6.8
1784958443.466283,0.81,6.8
1784958443.9692605,0.80348,6.8
1784958444.4700327,0.79198,6.8
1784958444.9708252,0.80597,6.8
1784958445.4716222,0.805,6.8
1784958445.9743044,0.801,6.8
1784958446.4751027,0.7995,6.8
1784958446.976248,0.8005,6.8
1784958447.479305,0.798,6.9
1784958447.980089,0.801,6.9
1784958448.4808693,0.805,6.9
1784958448.9812875,0.8,6.9
1784958449.4842732,0.801,6.9
1784958449.9850824,0.80549,6.9
1784958450.4858737,0.80299,6.9
1784958450.9866505,0.80549,6.9
1784958451.487428,0.798,6.9
1784958451.9882078,0.8025,6.9
